0,1
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-10.png,vote
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-62.png,play
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-65.png,letter
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-97.png,theory
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-85.png,production
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-38.png,respond
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-16.png,man
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-08.png,range
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-73.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-32.png,character
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-85.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-41.png,minute
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-13.png,ready
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-35.png,government
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-28.png,economic
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-48.png,perform
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-94.png,film
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-94.png,public
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-57.png,heat
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-19.png,drive
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-53.png,stop
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-08.png,this
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-14.png,thousand
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-54.png,phone
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-94.png,their
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-50.png,environment
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-29.png,source
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-31.png,parent
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-30.png,ket
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-46.png,word
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-64.png,cour
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-92.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-84.png,series
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-93.png,tha
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-89.png,seven
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-83.png,fas
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-86.png,decide
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-05.png,fi
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-23.png,may
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-04.png,similar
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-38.png,to
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-87.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-52.png,ttention
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-70.png,hold
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-72.png,possible
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-42.png,guess
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-46.png,any
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-75.png,c
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-94.png,offer
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-62.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-77.png,factor
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-81.png,ll
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-06.png,simply
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-86.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-73.png,support
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-31.png,memory
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-20.png,recently
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-01.png,question
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-19.png,mar
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-02.png,individual
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-97.png,find
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-01.png,l
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-31.png,relationships
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-34.png,tough
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-42.png,payer
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-32.png,white
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-25.png,mea
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-57.png,leader
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-77.png,live
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-85.png,fa
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-12.png,walk
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-57.png,yard
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-73.png,e
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-56.png,even
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-66.png,save
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-93.png,occur
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-19.png,weapon
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-71.png,life
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-99.png,show
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-24.png,early
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-34.png,got
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-55.png,move
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-89.png,between
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-16.png,forward
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-66.png,let
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-85.png,television
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-12.png,six
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-86.png,look
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-59.png,strong
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-48.png,righ
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-86.png,serve
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-08.png,accros
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-41.png,wish
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-97.png,officia
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-36.png,always
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-53.png,ess
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-79.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-01.png,useful
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-24.png,measure
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-15.png,ware
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-40.png,spring
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-91.png,field
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-68.png,population
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-60.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-37.png,knowledge
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-14.png,call
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-37.png,par
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-27.png,jus
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-03.png,above
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-00.png,l
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-56.png,stranded
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-24.png,ovide
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-04.png,break
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-29.png,allow
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-57.png,Mrs
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-14.png,forme
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-17.png,through
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-56.png,xylophone
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-55.png,physical
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-16.png,reality
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-20.png,against
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-54.png,health
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-72.png,e
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-11.png,foo
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-47.png,entral
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-76.png,network
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-64.png,myself
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-56.png,ld
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-45.png,won
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-09.png,follow
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-13.png,involve
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-87.png,service
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-01.png,able
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-09.png,sister
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-71.png,suggest
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-39.png,wife
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-72.png,light
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-10.png,interview
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-21.png,from
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-93.png,share
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-47.png,hang
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-59.png,here
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-63.png,he
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-80.png,hundred
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-48.png,ent
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-41.png,k
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-07.png,since
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-29.png,keep
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-27.png,soon
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-15.png,three
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-60.png,r
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-28.png,sound
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-78.png,how
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-32.png,remain
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-72.png,summer
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-96.png,blood
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-07.png,director
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-65.png,subject
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-43.png,answer
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-11.png,those
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-51.png,hard
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-56.png,hear
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-57.png,strategy
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-62.png,audience
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-26.png,reduce
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-86.png,identify
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-98.png,there
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-38.png,spoon
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-33.png,remember
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-15.png,form
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-60.png,attack
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-69.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-47.png,common
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-34.png,also
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-77.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-15.png,down
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-86.png,fear
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-41.png,pattern
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-37.png,America
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-00.png,book
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-56.png,movie
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-11.png,rat
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-25.png,ago
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-61.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-75.png,listen
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-02.png,the
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-71.png,back
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-83.png,proc
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-34.png,space
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-16.png,admit
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-98.png,body
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-36.png,kitchen
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-34.png,remove
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-15.png,administration
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-49.png,environments
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-06.png,race
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-04.png,difficult
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-59.png,Mr
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-01.png,firm
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-41.png,animal
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-82.png,before
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-88.png,iew
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-06.png,think
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-99.png,quality
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-38.png,might
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-02.png,oi
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-99.png,finger
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-93.png,dent
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-17.png,really
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-33.png,particularly
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-61.png,student
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-81.png,bed
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-31.png,almost
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-05.png,machine
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-44.png,mi
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-09.png,discussion
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-09.png,ras
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-01.png,oh
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-30.png,edge
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-58.png,contin
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-63.png,exactly
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-02.png,first
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-82.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-55.png,story
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-07.png,radio
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-53.png,law
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-73.png,nearly
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-33.png,tota
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-50.png,ris
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-99.png,ther
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-10.png,but
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-20.png,other
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-49.png,company
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-16.png,candidate
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-83.png,begin
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-95.png,under
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-10.png,thod
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-62.png,r
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-10.png,only
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-05.png,qu
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-46.png,star
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-20.png,th
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-89.png,term
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-58.png,assume
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-85.png,behind
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-78.png,li
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-75.png,prepare
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-23.png,well
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-80.png,fall
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-05.png,old
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-21.png,recieve
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-52.png,concern
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-48.png,work
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-12.png,management
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-41.png,growth
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-74.png,seat
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-47.png,state
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-34.png,check
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-58.png,two
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-42.png,mission
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-21.png,again
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-09.png,one
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-36.png,speech
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-46.png,modern
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-54.png,establish
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-06.png,magazine
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-61.png,attorney
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-55.png,congress
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-92.png,ob
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-80.png,llion
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-48.png,happen
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-91.png,ile
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-40.png,respon
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-00.png,these
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-45.png,enter
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-66.png,exist
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-57.png,consum
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-93.png,l
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-61.png,plan
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-76.png,present
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-77.png,s
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-36.png,either
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-15.png,cancer
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-12.png,on
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-33.png,whole
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-90.png,few
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-53.png,head
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-44.png,tree
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-01.png,indicate
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-43.png,stale
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-18.png,dream
