0,1
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-69.png,populat
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-25.png,jagged
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-13-85.png,forcrate
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-34-60.png,square
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-08-61.png,conditional
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-41-60.png,t
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-14-25.png,for
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-30-34.png,P
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-48.png,station
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-24-28.png,myself
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-29-68.png,processes
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-10-73.png,dries
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-11-30.png,efficient
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-20-77.png,lead
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-25-72.png,obj
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-90.png,several
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-31-53.png,reverse
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-41-62.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-97.png,blue
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-05-63.png,behind
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-27-01.png,on
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-27-74.png,ou
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-16-90.png,ie
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-37-77.png,the
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-41.png,growth
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-85.png,idea
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-02-30.png,always
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-06-03.png,be
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-03-76.png,are
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-12-51.png,exhibit
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-29-59.png,private
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-30-68.png,ready
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-13-41.png,firm
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-00-33.png,-simple
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-32-61.png,sea
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-27-89.png,own
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-08-82.png,constraint
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-39-07.png,tion
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-44-37.png,wood
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-10-55.png,does
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-38-02.png,the
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-06-37.png,body
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-23-92.png,moves
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-23.png,over
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-13-30.png,find
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-01-11.png,afreebody
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-28-35.png,pattern
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-15-50.png,guess
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-20-79.png,lead
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-58.png,piec
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-39-83.png,to
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-89.png,seven
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-19-17.png,is
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-23.png,some
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-37-19.png,their
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-07-17.png,cannot
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-14-42.png,for
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-34-50.png,spend
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-13-24.png,final
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-31-48.png,resu
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-95.png,despite
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-18-88.png,is
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-22-79.png,mcm
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-23.png,fund
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-30-50.png,raised
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-08-92.png,controls
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-08.png,accros
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-12-14.png,errors
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-22-36.png,makes
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-23-47.png,moment
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-06-84.png,bythe
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-12-19.png,espec
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-54.png,law
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-20-76.png,lead
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-34-27.png,so
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-31-02.png,rejoinatthe
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-02-62.png,and
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-11-60.png,endurance
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-15-31.png,good
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-01-72.png,add
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-20-46.png,land
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-23-18.png,microbit
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-81.png,day
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-11-01.png,eachother
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-26-01.png,of
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-35-46.png,store
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-26.png,tion
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-16.png,three
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-13.png,address
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-13-47.png,fish
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-08-66.png,conflicting
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-07-30.png,can
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-37-41.png,Thermodynamics
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-19-73.png,I
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-15-03.png,generation
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-19-36.png,its
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-18-56.png,in
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-28-57.png,people
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-70.png,zeus
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-79.png,preven
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-09-23.png,crate
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-21-53.png,ll
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-16-15.png,heat
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-15-42.png,gravity
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-89.png,program
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-36-89.png,that
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-10-52.png,docstrings
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-26-02.png,of
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-31-46.png,results
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-70.png,cup
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-16-48.png,hotel
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-41-64.png,t
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-16-84.png,identify
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-08-36.png,common
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-31.png,top
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-06-39.png,Boolean
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-35-61.png,studyof
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-40-46.png,to
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-55.png,lay
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-37-95.png,the
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-37-15.png,their
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-36-30.png,tall
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-07-84.png,checksum
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-27-51.png,or
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-23.png,case
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-91.png,democracy
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-32.png,remain
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-19-88.png,jagged
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-38.png,green
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-21-69.png,looks
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-05-81.png,between
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-10-25.png,dict
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-28-24.png,pass
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-40.png,patient
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-85.png,production
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-96.png,financial
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-68.png,t
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-03-07.png,and
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-29-36.png,potentia
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-43.png,k
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-23-93.png,moves
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-10-28.png,difference
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-69.png,zen
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-62.png,he
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-05-89.png,be
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-02-38.png,anobject
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-26-92.png,onstraints
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-12.png,walk
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-29-14.png,politica
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-80.png,become
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-42-61.png,Vectors
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-11-53.png,Employees
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-24-90.png,night
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-25.png,mea
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-47.png,state
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-10-70.png,draw
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-14-81.png,function
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-15-78.png,has
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-25-29.png,not
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-73.png,nearly
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-03.png,okay
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-36-04.png,system
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-24-57.png,needs
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-22.png,th
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-39-49.png,toxic
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-08-90.png,contraction
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-27-58.png,other
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-30-18.png,push
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-09-22.png,crate
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-23-54.png,money
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-34-06.png,some
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-02-45.png,andbluetooth
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-44.png,pay
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-08-75.png,connection
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-25-08.png,node
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-43-51.png,we
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-03-10.png,and
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-37-44.png,these
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-33-04.png,shackletons
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-13-31.png,find
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-27-95.png,O
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-18-49.png,in
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-16-20.png,heke
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-36-97.png,Thedesigners
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-06.png,according
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-21-98.png,l
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-33-60.png,si
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-08-15.png,code
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-21-88.png,lts
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-43-89.png,whose
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-21.png,again
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-08-54.png,components
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-14-04.png,Force
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-02-63.png,and
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-42-30.png,use
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-18-09.png,in
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-22-23.png,made
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-28-09.png,particles
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-30-76.png,real
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-39-81.png,to
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-44-45.png,work
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-29-04.png,point
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-26.png,ca
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-00-41.png,0
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-29-76.png,produce
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-25.png,rec
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-26-65.png,okay
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-43-60.png,wha
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-17-18.png,importan
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-41-12.png,TV
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-31-85.png,rotate
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-80.png,daughter
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-34-61.png,stability
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-13-40.png,firm
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-32-27.png,satisfied
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-63.png,policy
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-22-16.png,MAC
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-42-15.png,up
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-39-28.png,together
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-29.png,where
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-20-23.png,king
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-20-09.png,key
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-14-86.png,f
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-22-50.png,many
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-37-21.png,them
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-40-08.png,to
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-44-02.png,will
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-49.png,stay
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-28-21.png,par
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-16.png,option
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-26-28.png,of
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-21-85.png,low
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-36-93.png,tha
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-12-40.png,ever
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-08.png,range
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-50.png,morning
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-68.png,such
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-29-18.png,population
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-21-93.png,lwo
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-16.png,war
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-24-31.png,my
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-03-83.png,are
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-34-73.png,Stakeholders
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-17-29.png,including
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-44-60.png,write
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-28-85.png,Physica
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-63.png,mu
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-08.png,building
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-39.png,past
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-06-04.png,be
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-00-71.png,2kg
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-33-15.png,shortestpath
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-41-58.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-76.png,c
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-01-23.png,about
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-21-23.png,line
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-18-24.png,in
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-01-10.png,aforce
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-27-29.png,ordered
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-22.png,carry
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-04-73.png,a
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-28-87.png,pick
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-13-76.png,followed
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-32-64.png,second
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-07.png,onder
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-13-89.png,forces
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-94.png,offer
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-15-81.png,has
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-09-28.png,creates
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-08-56.png,computationally
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-41-43.png,t
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-05-68.png,benefit
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-06-18.png,blood
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-13-10.png,feeling
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-15-87.png,have
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-31-76.png,rod
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-09-37.png,crowdcontrol
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-20-40.png,k
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-08-41.png,comm
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-33-17.png,shortest
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-02-15.png,all
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-12-21.png,establishes
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-42-90.png,v
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-32-66.png,secure
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-38-26.png,the
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-44-32.png,woman
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-09-58.png,C
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-06-97.png,by
